n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.054922        0.052051        0.003334        0.003462        0.001672        0.000726
4000    0.229488        0.231736        0.007233        0.007723        0.003596        0.001659
6000    0.499300        0.477093        0.011292        0.012177        0.005612        0.002688
8000    0.896175        0.844105        0.015355        0.016784        0.007761        0.003653
10000   1.417024        1.332979        0.019770        0.021723        0.009963        0.004805
12000   2.068990        1.918532        0.023664        0.026544        0.012089        0.005560
14000   2.809363        2.642693        0.028018        0.031421        0.014612        0.006682
16000   3.712578        3.497133        0.032895        0.037233        0.018021        0.008461
18000   4.682926        4.419496        0.036922        0.041840        0.019317        0.008146
20000   5.777738        5.478968        0.041472        0.047053        0.021981        0.009217
