n       Selection       Insertion       Merge           Heap            Quick           Counting
100     0.000162        0.000121        0.000115        0.000108        0.000049        0.000031
200     0.000595        0.000426        0.000239        0.000234        0.000104        0.000057
300     0.001240        0.000958        0.000384        0.000380        0.000167        0.000091
400     0.002127        0.001771        0.000544        0.000544        0.000250        0.000127
500     0.003378        0.002889        0.000711        0.000710        0.000328        0.000161
600     0.004874        0.004155        0.000882        0.000878        0.000402        0.000193
700     0.006843        0.005757        0.001050        0.001055        0.000483        0.000228
800     0.008736        0.007557        0.001221        0.001244        0.000576        0.000258
900     0.011171        0.009850        0.001402        0.001415        0.000636        0.000294
1000    0.014697        0.012235        0.001578        0.001602        0.000724        0.000323
