n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.005880        0.000013        0.000299        0.000344        0.013497        0.000069
4000    0.024464        0.000028        0.000660        0.000785        0.055750        0.000146
6000    0.054214        0.000040        0.001011        0.001217        0.126484        0.000216
8000    0.099553        0.000054        0.001339        0.001672        0.225506        0.000306
10000   0.155610        0.000072        0.001755        0.002124        0.352877        0.000372
12000   0.228021        0.000080        0.002114        0.002663        0.518999        0.000527
14000   0.312625        0.000099        0.002535        0.003199        0.708194        0.000579
16000   0.420402        0.000124        0.003021        0.003691        0.936823        0.000602
18000   0.547244        0.000134        0.003347        0.004230        1.244874        0.000738
20000   0.700603        0.000148        0.003879        0.004834        1.548147        0.000809
