n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.005746        0.010048        0.000302        0.000314        0.008733        0.000066
4000    0.022921        0.040949        0.000659        0.000705        0.036134        0.000149
6000    0.051584        0.093732        0.001028        0.001115        0.080281        0.000219
8000    0.094384        0.169580        0.001407        0.001576        0.146796        0.000330
10000   0.146923        0.264866        0.001826        0.002050        0.228510        0.000399
12000   0.217468        0.391725        0.002164        0.002440        0.334046        0.000478
14000   0.297985        0.537771        0.002576        0.002921        0.461994        0.000561
16000   0.387746        0.703365        0.003013        0.003390        0.607694        0.000594
18000   0.504784        0.916105        0.003372        0.003847        0.782828        0.000655
20000   0.628515        1.132497        0.003849        0.004386        0.970224        0.000733
