n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.005767        0.009477        0.000296        0.000306        0.008616        0.000066
4000    0.022989        0.039191        0.000663        0.000703        0.035402        0.000149
6000    0.052335        0.090229        0.001020        0.001070        0.081012        0.000223
8000    0.093482        0.160423        0.001352        0.001516        0.142476        0.000296
10000   0.146003        0.250952        0.001722        0.001917        0.222694        0.000403
12000   0.214521        0.371665        0.002163        0.002390        0.331797        0.000440
14000   0.292725        0.514010        0.002563        0.002915        0.450191        0.000584
16000   0.387273        0.685110        0.002953        0.003374        0.606251        0.000729
18000   0.527588        0.953315        0.006481        0.007258        0.908279        0.000729
20000   0.654238        1.123130        0.003781        0.004373        0.999288        0.000797
