n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.054723        0.012502        0.003245        0.003626        0.003397        0.000710
4000    0.221485        0.049780        0.007056        0.007990        0.006729        0.001577
6000    0.501431        0.113786        0.011038        0.012636        0.010201        0.002610
8000    0.900756        0.201079        0.014990        0.017330        0.015025        0.003681
10000   1.418622        0.313144        0.019509        0.022329        0.021449        0.004674
12000   2.067407        0.457396        0.023137        0.027179        0.021609        0.005351
14000   2.799988        0.621109        0.027556        0.032124        0.029580        0.006285
16000   3.721271        0.823476        0.032071        0.037541        0.032097        0.006896
18000   4.693722        1.041141        0.036166        0.042490        0.034459        0.007638
20000   5.853306        1.285061        0.040620        0.048169        0.038868        0.008355
