n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.054676        2000    0.054970        0.012000        0.003161        0.003517        0.003089        0.000670
4000    0.221604        0.046772        0.006888        0.007718        0.006299        0.001559
6000    0.506508        0.107939        0.010667        0.012257        0.011097        0.002571
8000    0.895960        0.191641        0.014644        0.017231        0.014346        0.003406
10000   1.405661        0.302064        0.018750        0.021772        0.018662        0.004358
12000   2.025233        0.432044        0.022687        0.026563        0.021408        0.005068
14000   2.791801        0.594107        0.027191        0.031792        0.027363        0.005877
16000   3.665537        0.797107        0.031363        0.037264        0.032512        0.007094
18000   5.114327        1.116349        0.037137        0.044586        0.045082        0.007893
20000   5.877149        1.256810        0.040664        0.048147        0.045136        0.008633
