[ [RANDOM] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.054676        0.048886        0.003275        0.003343        0.001613        0.000680
4000    0.221292        0.197041        0.007093        0.007465        0.003519        0.001556
6000    0.505256        0.459684        0.011081        0.012061        0.005623        0.002671
8000    0.897575        0.816780        0.015132        0.016865        0.007686        0.003429
10000   1.408096        1.263619        0.019124        0.021055        0.009873        0.004503
12000   2.026486        1.820880        0.023225        0.025827        0.012448        0.005435
14000   2.791025        2.529919        0.027783        0.031009        0.014412        0.006226
16000   3.665507        3.355251        0.031832        0.035777        0.016825        0.007233
18000   5.083430        4.696556        0.041452        0.044656        0.019848        0.008832
20000   5.885660        5.452056        0.041504        0.047415        0.021990        0.009028


[ [SORTED] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.005880        0.000013        0.000299        0.000344        0.013497        0.000069
4000    0.024464        0.000028        0.000660        0.000785        0.055750        0.000146
6000    0.054214        0.000040        0.001011        0.001217        0.126484        0.000216
8000    0.099553        0.000054        0.001339        0.001672        0.225506        0.000306
10000   0.155610        0.000072        0.001755        0.002124        0.352877        0.000372
12000   0.228021        0.000080        0.002114        0.002663        0.518999        0.000527
14000   0.312625        0.000099        0.002535        0.003199        0.708194        0.000579
16000   0.420402        0.000124        0.003021        0.003691        0.936823        0.000602
18000   0.547244        0.000134        0.003347        0.004230        1.244874        0.000738
20000   0.700603        0.000148        0.003879        0.004834        1.548147        0.000809


[ [REVERSE] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.005767        0.009477        0.000296        0.000306        0.008616        0.000066
4000    0.022989        0.039191        0.000663        0.000703        0.035402        0.000149
6000    0.052335        0.090229        0.001020        0.001070        0.081012        0.000223
8000    0.093482        0.160423        0.001352        0.001516        0.142476        0.000296
10000   0.146003        0.250952        0.001722        0.001917        0.222694        0.000403
12000   0.214521        0.371665        0.002163        0.002390        0.331797        0.000440
14000   0.292725        0.514010        0.002563        0.002915        0.450191        0.000584
16000   0.387273        0.685110        0.002953        0.003374        0.606251        0.000729
18000   0.527588        0.953315        0.006481        0.007258        0.908279        0.000729
20000   0.654238        1.123130        0.003781        0.004373        0.999288        0.000797


[ [NEARLY SORTED] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.054970        0.012000        0.003161        0.003517        0.003089        0.000670
4000    0.221604        0.046772        0.006888        0.007718        0.006299        0.001559
6000    0.506508        0.107939        0.010667        0.012257        0.011097        0.002571
8000    0.895960        0.191641        0.014644        0.017231        0.014346        0.003406
10000   1.405661        0.302064        0.018750        0.021772        0.018662        0.004358
12000   2.025233        0.432044        0.022687        0.026563        0.021408        0.005068
14000   2.791801        0.594107        0.027191        0.031792        0.027363        0.005877
16000   3.665537        0.797107        0.031363        0.037264        0.032512        0.007094
18000   5.114327        1.116349        0.037137        0.044586        0.045082        0.007893
20000   5.877149        1.256810        0.040664        0.048147        0.045136        0.008633
